Diseases & Risk Factors,Year,Country Name,Gender,Numeric,Lower Confidence Limit,Upper Confidence Limit
Noncommunicable diseases,2000,Nepal,Males,19.28516,12.01887,28.61572
Noncommunicable diseases,2000,Nepal,Females,19.23258,11.27446,28.83658
Noncommunicable diseases,2001,Nepal,Males,18.83932,11.70583,28.04834
Noncommunicable diseases,2001,Nepal,Females,18.76374,11.07713,28.0886
Noncommunicable diseases,2002,Nepal,Males,17.34758,10.63618,26.09991
Noncommunicable diseases,2002,Nepal,Females,18.48341,10.97901,27.67624
Noncommunicable diseases,2003,Nepal,Males,17.64845,10.84738,26.51103
Noncommunicable diseases,2003,Nepal,Females,18.47196,11.04342,27.65076
Noncommunicable diseases,2004,Nepal,Males,17.87836,11.01813,26.74764
Noncommunicable diseases,2004,Nepal,Females,18.24563,10.97286,27.30167
Noncommunicable diseases,2005,Nepal,Males,18.44965,11.4533,27.41356
Noncommunicable diseases,2005,Nepal,Females,18.40227,11.11619,27.48675
Noncommunicable diseases,2006,Nepal,Males,19.11857,12.00047,28.15988
Noncommunicable diseases,2006,Nepal,Females,18.47658,11.19541,27.52875
Noncommunicable diseases,2007,Nepal,Males,19.3348,12.22145,28.27153
Noncommunicable diseases,2007,Nepal,Females,18.64905,11.31385,27.71284
Noncommunicable diseases,2008,Nepal,Males,20.014,12.70097,29.06509
Noncommunicable diseases,2008,Nepal,Females,18.83426,11.4411,27.96282
Noncommunicable diseases,2009,Nepal,Males,20.91253,13.34548,30.15369
Noncommunicable diseases,2009,Nepal,Females,19.05534,11.55078,28.28296
Noncommunicable diseases,2010,Nepal,Males,21.22501,13.56156,30.57233
Noncommunicable diseases,2010,Nepal,Females,19.23766,11.66045,28.49814
Noncommunicable diseases,2011,Nepal,Males,22.17256,14.24364,31.75101
Noncommunicable diseases,2011,Nepal,Females,19.38559,11.71819,28.73308
Noncommunicable diseases,2012,Nepal,Males,22.74066,14.68613,32.5071
Noncommunicable diseases,2012,Nepal,Females,19.50321,11.76674,28.94457
Noncommunicable diseases,2013,Nepal,Males,23.11918,14.86702,33.13707
Noncommunicable diseases,2013,Nepal,Females,19.47827,11.64916,29.08128
Noncommunicable diseases,2014,Nepal,Males,23.53281,15.0338,33.83207
Noncommunicable diseases,2014,Nepal,Females,19.52629,11.61708,29.34108
Noncommunicable diseases,2015,Nepal,Males,23.57365,14.99457,34.02682
Noncommunicable diseases,2015,Nepal,Females,19.54397,11.55437,29.47043
