"Diseases & Risk Factors","Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2000","Nepal","South-East Asia Region","Total","","19.24832","11.61031","28.7283","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2000","Nepal","South-East Asia Region","Males","","19.28516","12.01887","28.61572","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2000","Nepal","South-East Asia Region","Females","","19.23258","11.27446","28.83658","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2001","Nepal","South-East Asia Region","Total","","18.79375","11.36511","28.06658","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2001","Nepal","South-East Asia Region","Males","","18.83932","11.70583","28.04834","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2001","Nepal","South-East Asia Region","Females","","18.76374","11.07713","28.0886","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2002","Nepal","South-East Asia Region","Total","","17.96073","10.82401","26.95567","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2002","Nepal","South-East Asia Region","Males","","17.34758","10.63618","26.09991","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2002","Nepal","South-East Asia Region","Females","","18.48341","10.97901","27.67624","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2003","Nepal","South-East Asia Region","Total","","18.08057","10.94929","27.11294","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2003","Nepal","South-East Asia Region","Males","","17.64845","10.84738","26.51103","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2003","Nepal","South-East Asia Region","Females","","18.47196","11.04342","27.65076","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2004","Nepal","South-East Asia Region","Total","","18.06817","10.99426","27.03628","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2004","Nepal","South-East Asia Region","Males","","17.87836","11.01813","26.74764","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2004","Nepal","South-East Asia Region","Females","","18.24563","10.97286","27.30167","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2005","Nepal","South-East Asia Region","Total","","18.42429","11.28102","27.4503","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2005","Nepal","South-East Asia Region","Males","","18.44965","11.4533","27.41356","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2005","Nepal","South-East Asia Region","Females","","18.40227","11.11619","27.48675","",
"Noncommunicable diseases","Probability of premature mortality from NCDs","","2006","Nepal","South-East Asia Region","Total","","18.79475","11.59558","27.84114","",
