Diseases & Risk Factors,Country Name,Gender,Numeric,Confidence_Range,Year_Bin,Numeric_log,Gender_Disease,Numeric_scaled
Noncommunicable diseases,Nepal,Males,19.28516,16.59685,1990s,3.0098895842289797,Males_Noncommunicable diseases,-0.3404273711502457
Noncommunicable diseases,Nepal,Females,19.23258,17.56212,1990s,3.0072941764142533,Females_Noncommunicable diseases,-0.3404322404280236
Noncommunicable diseases,Nepal,Males,18.83932,16.342509999999997,2000s,2.987665827075805,Males_Noncommunicable diseases,-0.3404686590696928
Noncommunicable diseases,Nepal,Females,18.76374,17.01147,2000s,2.983848945665238,Females_Noncommunicable diseases,-0.34047565830922233
Noncommunicable diseases,Nepal,Males,17.34758,15.463730000000002,2000s,2.909497685694641,Males_Noncommunicable diseases,-0.34060680468461324
Noncommunicable diseases,Nepal,Females,18.48341,16.697229999999998,2000s,2.9695633342293943,Females_Noncommunicable diseases,-0.3405016188386917
Noncommunicable diseases,Nepal,Males,17.64845,15.663650000000002,2000s,2.925763032716433,Males_Noncommunicable diseases,-0.34057894200669275
Noncommunicable diseases,Nepal,Females,18.47196,16.60734,2000s,2.968975482011344,Females_Noncommunicable diseases,-0.3405026791892158
Noncommunicable diseases,Nepal,Males,17.87836,15.729510000000001,2000s,2.938016292537644,Males_Noncommunicable diseases,-0.3405576507238108
Noncommunicable diseases,Nepal,Females,18.24563,16.32881,2000s,2.9572840219754317,Females_Noncommunicable diseases,-0.3405236389389208
Noncommunicable diseases,Nepal,Males,18.44965,15.96026,2000s,2.967829075043934,Males_Noncommunicable diseases,-0.3405047452521147
Noncommunicable diseases,Nepal,Females,18.40227,16.37056,2000s,2.9653900695333886,Females_Noncommunicable diseases,-0.3405091329733228
Noncommunicable diseases,Nepal,Males,19.11857,16.15941,2000s,3.001643269147045,Males_Noncommunicable diseases,-0.3404427985558187
Noncommunicable diseases,Nepal,Females,18.47658,16.33334,2000s,2.9692127181193815,Females_Noncommunicable diseases,-0.34050225134472484
Noncommunicable diseases,Nepal,Males,19.3348,16.050079999999998,2000s,3.0123337040514166,Males_Noncommunicable diseases,-0.3404227741371437
Noncommunicable diseases,Nepal,Females,18.64905,16.398989999999998,2000s,2.978028991090582,Females_Noncommunicable diseases,-0.34048627940979964
Noncommunicable diseases,Nepal,Males,20.014,16.36412,2000s,3.0451888822665834,Males_Noncommunicable diseases,-0.34035987544055185
Noncommunicable diseases,Nepal,Females,18.83426,16.521720000000002,2000s,2.987410745481079,Females_Noncommunicable diseases,-0.3404691276612781
Noncommunicable diseases,Nepal,Males,20.91253,16.808210000000003,2000s,3.08705861932799,Males_Noncommunicable diseases,-0.3402766652434837
Noncommunicable diseases,Nepal,Females,19.05534,16.73218,2000s,2.9984954524565195,Females_Noncommunicable diseases,-0.3404486540984947
Noncommunicable diseases,Nepal,Males,21.22501,17.01077,2000s,3.101218231343624,Males_Noncommunicable diseases,-0.34024772739791387
Noncommunicable diseases,Nepal,Females,19.23766,16.83769,2000s,3.007545225087386,Females_Noncommunicable diseases,-0.34043176998429764
Noncommunicable diseases,Nepal,Males,22.17256,17.50737,2010s,3.14296882004058,Males_Noncommunicable diseases,-0.34015997760410405
Noncommunicable diseases,Nepal,Females,19.38559,17.01489,2010s,3.0148282787025154,Females_Noncommunicable diseases,-0.34041807062595425
Noncommunicable diseases,Nepal,Males,22.74066,17.820970000000003,2010s,3.16718918997452,Males_Noncommunicable diseases,-0.3401073675488422
Noncommunicable diseases,Nepal,Females,19.50321,17.17783,2010s,3.0205814592520075,Females_Noncommunicable diseases,-0.3404071781867712
Noncommunicable diseases,Nepal,Males,23.11918,18.27005,2010s,3.183007374597834,Males_Noncommunicable diseases,-0.34007231393483456
Noncommunicable diseases,Nepal,Females,19.47827,17.432119999999998,2010s,3.019364323947041,Females_Noncommunicable diseases,-0.34040948780616603
